X,Y,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE
-13615613.22,4563216.952,12,30,GOLDEN GATE FIELDS,1100 EASTSHORE HIGHWAY,ALBANY,CA,94710,1007,(510) 559-7300,SINGLE USE,OPEN,14750,ALAMEDA,6001,USA,37.88517064,-122.3111346,711212,RACETRACKS,http://www.goldengatefields.com
-8245792.947,4985606.24,13,32,MEADOWLANDS RACETRACK,50 STATE ROUTE 120,EAST RUTHERFORD,NJ,7073,NOT AVAILABLE,(201) 843-2446,SINGLE USE,OPEN,2200,BERGEN,34003,USA,40.81849345,-74.07321834,711212,RACETRACKS,http://www.thebigm.com
-8535226.038,4772431.769,14,33,PIMLICO RACE COURSE,5201 PARK HEIGHTS AVENUE,BALTIMORE,MD,21215,NOT AVAILABLE,(410) 542-9400,SINGLE USE,OPEN,14852,BALTIMORE (CITY),24510,USA,39.35347997,-76.67324003,711212,RACETRACKS,http://www.pimlico.com/visitors/track-overview
-13140645.83,4047749.285,15,34,SANTA ANITA PARK,285 WEST HUNTINGTON DRIVE,ARCADIA,CA,91007,NOT AVAILABLE,(626) 574-7223,SINGLE USE,OPEN,26000,LOS ANGELES,6037,USA,34.14098999,-118.04443,711212,RACETRACKS,http://www.santaanita.com
-8211871.857,5322877.979,16,35,SARATOGA RACE COURSE,267 UNION AVENUE,SARATOGA SPRINGS,NY,12866,NOT AVAILABLE,(516) 488-6000,SINGLE USE,OPEN,18000,SARATOGA,36091,USA,43.07161,-73.7685,711212,RACETRACKS,https://www.saratogaracetrack.com/
-9418622.567,4585995.09,17,38,KEENELAND,4201 VERSAILLES ROAD,LEXINGTON,KY,40588,NOT AVAILABLE,(859) 254-3412,SINGLE USE,OPEN,7000,FAYETTE,48149,USA,38.04648799,-84.60892607,711212,RACETRACKS,http://www.keeneland.com/
-8552769.207,4736563.724,18,39,LAUREL PARK,ROUTE 198 AND RACETRACK ROAD,LAUREL,MD,20724,NOT AVAILABLE,(301) 725-0400,SINGLE USE,OPEN,4180,ANNE ARUNDEL,24003,USA,39.103889,-76.830833,711212,RACETRACKS,http://www.laurelpark.com/
-9797252.875,5174620.565,19,41,ARLINGTON PARK,2200 WEST EUCLID AVE,ARLINGTON HEIGHTS,IL,60005,NOT AVAILABLE,(847) 385-7500,SINGLE USE,OPEN,14000,COOK,27031,USA,42.091,-88.01022,711212,RACETRACKS,http://www.arlingtonpark.com/
-10796476.66,3865278.323,20,42,LONE STAR PARK,1000 LONE STAR PKWY,GRAND PRAIRIE,TX,75050,NOT AVAILABLE,(972) 263-7223,SINGLE USE,OPEN,8000,DALLAS,19049,USA,32.7735,-96.9864,711212,RACETRACKS,https://www.lonestarpark.com/facility-and-grounds/
-8920920.24,2996414.605,21,43,GULFSTREAM PARK,901 SOUTH FEDERAL HIGHWAY,HALLANDALE BEACH,FL,33009,NOT AVAILABLE,(954) 454-7000,SINGLE USE,OPEN,16627,BROWARD,12011,USA,25.97847,-80.13799,711212,RACETRACKS,http://www.gulfstreampark.com/
-8861258.782,5421062.009,22,44,WOODBINE RACETRACK,555 REXDALE BLVD,REXDALE,ON,M9W 5L2,NOT AVAILABLE,(416) 675-7223,SINGLE USE,OPEN,12000,TORONTO,3520005,CAN,43.712525,-79.602042,711212,RACETRACKS,https://woodbine.com/
-8218810.289,4964126.369,23,45,AQUEDUCT RACETRACK,110-00 RACKAWAY BOULEVARD,JAMAICA,NY,11417,NOT AVAILABLE,(718) 641-4700,SINGLE USE,OPEN,17000,QUEENS,36081,USA,40.672306,-73.830829,711212,RACETRACKS,http://www.nyra.com/aqueduct/
-8239267.309,4911079.983,24,46,MONMOUTH PARK,175 OCEANPORT AVENUE,OCEANPORT,NJ,7757,NOT AVAILABLE,(732) 222-5100,SINGLE USE,OPEN,8000,MONMOUTH,34025,USA,40.30990792,-74.01459754,711212,RACETRACKS,http://monmouthpark.com/
-8932389.771,2995385.341,25,47,GULFSTREAM PARK WEST,21001 NW 27TH AVE,MIAMI GARDENS,FL,33056,NOT AVAILABLE,(305) 625-1311,SINGLE USE,OPEN,15000,MIAMI-DADE,12086,USA,25.9701579,-80.24102255,711212,RACETRACKS,http://www.gulfstreampark.com/racing/news-details/2017/10/02/racing-shifts-to-gulfstream-west-wednesday-oct.-4
-10027771.69,3501475.089,26,48,FAIR GROUNDS RACE COURSE,1751 GENTILLY BOULEVARD,NEW ORLEANS,LA,70119,NOT AVAILABLE,(504) 944-5515,SINGLE USE,OPEN,8000,ORLEANS,22071,USA,29.98385785,-90.08100575,711212,RACETRACKS,http://www.fairgroundsracecourse.com
-10359056.92,4094156.273,27,49,OAKLAWN PARK,2705 CENTRAL AVE,HOT SPRINGS,AR,71901,NOT AVAILABLE,(800) 625-5296,SINGLE USE,OPEN,6500,GARLAND,5051,USA,34.48531978,-93.05699159,711212,RACETRACKS,http://oaklawn.com/
-8770523.888,5277598.107,28,50,NEW ERA FIELD,1 BILLS DRIVE,ORCHARD PARK,NY,14127,NOT AVAILABLE,(716) 648-1800,SINGLE USE,OPEN,73079,ERIE,39043,USA,42.77375433,-78.78695658,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.buffalobills.com/stadium/index.html
-8932148.398,2993872.395,29,404,HARD ROCK STADIUM,347 DON SHULA DR,MIAMI GARDENS,FL,33056,NOT AVAILABLE,(305) 943-8000,MULTIUSE,OPEN,65326,MIAMI-DADE,12086,USA,25.95793863,-80.23885426,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://hardrockstadium.com/
-7933111.951,5174607.952,30,382,GILLETTE STADIUM,1 PATRIOT PLACE,FOXBORO,MA,2035,1388,(508) 543-8200,MULTIUSE,OPEN,68756,NORFOLK,25021,USA,42.09091592,-71.26435716,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.gillettestadium.com/
-9094754.806,5087269.251,31,53,FIRSTENERGY STADIUM,100 ALFRED LERNER WAY,CLEVELAND,OH,44114,NOT AVAILABLE,(440) 891-5001,SINGLE USE,OPEN,67895,CUYAHOGA,39035,USA,41.50602531,-81.69957248,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://firstenergystadium.com/
-8529599.948,4761556.9,32,54,M&T BANK STADIUM,1101 RUSSELL STREET,BALTIMORE,MD,21230,NOT AVAILABLE,(261) 261-7283,SINGLE USE,OPEN,71008,BALTIMORE (CITY),24510,USA,39.27790001,-76.62270001,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.baltimoreravens.com/stadium/
-9408283.65,4735354.637,33,55,PAUL BROWN STADIUM,1 PAUL BROWN STADIUM,CINCINNATI,OH,45202,3418,(513) 455-4800,SINGLE USE,OPEN,65515,HAMILTON,20075,USA,39.09546,-84.51605,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.bengals.com/stadium/
-8907311.437,4931073.815,34,383,HEINZ FIELD,100 ART ROONEY AVENUE,PITTSBURGH,PA,15212,NOT AVAILABLE,(412) 697-7150,MULTIUSE,OPEN,65500,ALLEGHENY,42003,USA,40.44672999,-80.01574004,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://heinzfield.com/stadium/
-9087833.798,3545252.483,35,57,TIAA BANK FIELD,1 EVERBANK FIELD DRIVE,JACKSONVILLE,FL,32202,1918,(904) 633-2000,SINGLE USE,OPEN,67164,DUVAL,48131,USA,30.3239,-81.6374,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://tiaabankfield.com/
-9591681.209,4831135.795,36,58,LUCAS OIL STADIUM,500 SOUTH CAPITOL AVENUE,INDIANAPOLIS,IN,46225,NOT AVAILABLE,(317) 262-8600,SINGLE USE,OPEN,62421,MARION,41047,USA,39.76005949,-86.1635383,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.lucasoilstadium.com/
-10621095.03,3463114.476,37,59,NRG STADIUM,1 NRG PARK,HOUSTON,TX,77054,NOT AVAILABLE,(832) 667-1400,SINGLE USE,OPEN,71500,HARRIS,48201,USA,29.68492994,-95.41091998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.nrgpark.com/nrg-park-facilities-2/nrg-stadium/
-9659334.705,4323548.872,38,60,NISSAN STADIUM,1 TITANS WAY,NASHVILLE,TN,37213,NOT AVAILABLE,(615) 565-4300,SINGLE USE,OPEN,69143,DAVIDSON,47037,USA,36.16645,-86.77128,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.titansonline.com/stadium/
-13603310.79,4544395.818,39,370,OAKLAND ALAMEDA COLISEUM,7000 COLISEUM WAY,OAKLAND,CA,94621,NOT AVAILABLE,(510) 569-2121,MULTIUSE,OPEN,63026,ALAMEDA,6001,USA,37.75161,-122.20062,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.coliseum.com/venues/detail/oakland-alameda-county-coliseum
-10517911.99,4728680.549,40,62,ARROWHEAD STADIUM,1 ARROWHEAD DRIVE,KANSAS CITY,MO,64129,NOT AVAILABLE,(816) 920-9300,SINGLE USE,OPEN,76416,JACKSON,48239,USA,39.04891429,-94.48401096,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.chiefs.com/stadium/
-11690789.53,4828797.816,41,63,BRONCOS STADIUM AT MILE HIGH,1701 BRYANT STREET,DENVER,CO,80204,1701,(720) 258-3000,SINGLE USE,OPEN,76125,DENVER,8031,USA,39.74391241,-105.0201491,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.sportsauthorityfieldatmilehigh.com/
-13037690.85,3866554.24,42,399,SDCCU STADIUM,9449 FRIARS ROAD,SAN DIEGO,CA,92108,NOT AVAILABLE,(619) 641-3100,SINGLE USE,OPEN,70561,SAN DIEGO,6073,USA,32.78313672,-117.1195696,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.sandiego.gov/stadium
-8556512.791,4708454.442,43,65,FEDEX FIELD,1600 FEDEX WAY,LANDOVER,MD,20785,NOT AVAILABLE,(301) 276-6100,SINGLE USE,OPEN,82000,PRINCE GEORGE'S,24033,USA,38.90766814,-76.86446219,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.redskins.com/fedexfield/
-10808346.47,3861876.149,44,66,AT&T STADIUM,1 LEGENDS WAY,ARLINGTON,TX,76011,NOT AVAILABLE,(817) 892-4000,SINGLE USE,OPEN,80000,TARRANT,48439,USA,32.74779903,-97.09302827,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://attstadium.com/
-8245923.644,4984877.433,45,67,METLIFE STADIUM,1 METLIFE STADIUM DRIVE,EAST RUTHERFORD,NJ,7073,NOT AVAILABLE,(201) 559-1515,MULTIUSE,OPEN,82500,BERGEN,34003,USA,40.81353862,-74.07439241,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.metlifestadium.com/
-8367600.032,4851534.358,46,373,LINCOLN FINANCIAL FIELD,1020 PATTISON AVENUE,PHILADELPHIA,PA,19148,NOT AVAILABLE,(215) 667-6100,MULTIUSE,OPEN,68532,PHILADELPHIA,42101,USA,39.90078,-75.16743,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.lincolnfinancialfield.com/
-9244598.354,5212054.172,47,69,FORD FIELD,2000 BRUSH STREET,DETROIT,MI,48226,2229,(313) 262-2000,SINGLE USE,OPEN,65000,WAYNE,49055,USA,42.34004998,-83.04563997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.detroitlions.com/ford-field/index.html
-9803041.272,5543347.001,48,70,LAMBEAU FIELD,1265 LOMBARDI AVENUE,GREEN BAY,WI,54304,NOT AVAILABLE,(920) 569-7500,SINGLE USE,OPEN,81441,BROWN,27015,USA,44.50128014,-88.06221805,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.packers.com/lambeau-field/
-9753446.272,5140383.482,49,71,SOLDIER FIELD,1410 SOUTH MUSEUM CAMPUS DRIVE,CHICAGO,IL,60605,NOT AVAILABLE,(312) 235-7000,SINGLE USE,OPEN,61500,COOK,27031,USA,41.8623573,-87.61669859,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.soldierfield.net/
-9000494.752,4194610.321,50,73,BANK OF AMERICA STADIUM,800 SOUTH MINT STREET,CHARLOTTE,NC,28202,NOT AVAILABLE,(704) 358-7000,SINGLE USE,OPEN,75525,MECKLENBURG,37119,USA,35.22581,-80.85282,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.panthers.com/stadium/index.html
-10027806.19,3497259.702,52,392,MERCEDES-BENZ SUPERDOME,1500 SUGAR BOWL DRIVE,NEW ORLEANS,LA,70112,1255,(504) 587-3663,SINGLE USE,OPEN,76468,ORLEANS,22071,USA,29.95105291,-90.08131568,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.superdome.com/
-9184225.345,3245939.452,53,400,RAYMOND JAMES STADIUM,4201 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33607,6103,(813) 350-6500,MULTIUSE,OPEN,65890,HILLSBOROUGH,12057,USA,27.97593,-82.5033,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://raymondjamesstadium.com/
-13617887.17,6039767.949,54,365,CENTURYLINK FIELD,800 OCCIDENTAL AVENUE SOUTH,SEATTLE,WA,98134,1200,(206) 381-7555,MULTIUSE,OPEN,72000,KING,53033,USA,47.59517049,-122.3315619,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.centurylinkfield.com/
-12497031.04,3965549.114,55,80,STATE FARM STADIUM,1 CARDINALS DRIVE,GLENDALE,AZ,85305,NOT AVAILABLE,(623) 433-7100,SINGLE USE,OPEN,63400,MARICOPA,4013,USA,33.52762883,-112.2627399,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.universityofphoenixstadium.com/index.php/
-10093026.54,4279854.234,56,81,CENTENNIAL BANK STADIUM,2180 AGGIE ROAD,JONESBORO,AR,72401,NOT AVAILABLE,(870) 934-9000,SINGLE USE,OPEN,30406,CRAIGHEAD,5031,USA,35.84893,-90.6672,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.astateredwolves.com/ViewArticle.dbml?ATCLID=207063
-12350763.59,3793393.031,57,82,ARIZONA STADIUM,545 NORTH NATIONAL CHAMPION DRIVE,TUCSON,AZ,85721,NOT AVAILABLE,(520) 621-2200,SINGLE USE,OPEN,56037,PIMA,4019,USA,32.22888537,-110.9487971,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.arizonawildcats.com/ViewArticle.dbml?ATCLID=208232687
-12460272.24,3952040.5,58,83,SUN DEVIL STADIUM,500 EAST VETERANS WAY,TEMPE,AZ,85281,NOT AVAILABLE,(480) 965-2381,SINGLE USE,OPEN,53599,MARICOPA,4013,USA,33.42641,-111.93253,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://thesundevils.com/facilities/?id=12
-13608886.79,4561218.433,59,85,CALIFORNIA MEMORIAL STADIUM,2227 PIEDMONT AVENUE,BERKELEY,CA,94720,NOT AVAILABLE,(510) 642-2730,SINGLE USE,OPEN,63000,ALAMEDA,6001,USA,37.871,-122.25071,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.californiamemorialstadium.com/
-13167755.31,4030690.219,60,86,LOS ANGELES MEMORIAL COLISEUM,3911 SOUTH FIGUEROA STREET,LOS ANGELES,CA,90037,NOT AVAILABLE,(213) 747-7111,MULTIUSE,OPEN,92348,LOS ANGELES,6037,USA,34.01406091,-118.2879585,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.lacoliseum.com/
-13154354.83,4050479.948,61,87,ROSE BOWL,1001 ROSE BOWL DRIVE,PASADENA,CA,91103,2813,(626) 577-3100,SINGLE USE,OPEN,90888,LOS ANGELES,6037,USA,34.16129,-118.16758,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.rosebowlstadium.com/
-13598912.56,4499844.778,62,88,STANFORD STADIUM,625 NELSON ROAD,STANFORD,CA,94305,NOT AVAILABLE,(650) 723-2300,SINGLE USE,OPEN,50424,SANTA CLARA,6085,USA,37.4345,-122.16111,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.gostanford.com/ViewArticle.dbml?ATCLID=208446909
-13331408.63,4413271.391,63,89,BULLDOG STADIUM,1600 EAST BULLDOG LANE,FRESNO,CA,93740,NOT AVAILABLE,(559) 278-2643,SINGLE USE,OPEN,41031,FRESNO,6019,USA,36.81442425,-119.7580813,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://gobulldogs.com/facilities/?id=1
-13566315.99,4483765.825,64,90,SPARTAN STADIUM (CALIFORNIA),1350 SOUTH 7TH STREET,SAN JOSE,CA,95112,NOT AVAILABLE,(408) 924-7589,SINGLE USE,OPEN,30456,SANTA CLARA,6085,USA,37.31972,-121.86829,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.sjsuspartans.com/facilities/sjsu-facilities.html#stadium
-11718257.71,4867318.53,65,91,FOLSOM FIELD,2400 COLORADO AVE,BOULDER,CO,80302,NOT AVAILABLE,(303) 492-8900,SINGLE USE,OPEN,50183,BOULDER,8013,USA,40.00947,-105.2669,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://cubuffs.com/facilities/?id=1
-11671122.81,4721250.452,66,92,FALCON STADIUM,2169 FIELD HOUSE DRIVE,USAFA,CO,80840,NOT AVAILABLE,(719) 472-1151,SINGLE USE,OPEN,46692,EL PASO,48141,USA,38.99706,-104.84348,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.goairforcefalcons.com/facilities/falcon-stadium.html
-8083891.178,5125039.421,68,94,RENTSCHLER FIELD,615 SILVER LANE,HARTFORD,CT,6118,1231,(860) 610-4700,SINGLE USE,OPEN,38066,HARTFORD,9003,USA,41.75962,-72.61883,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.rentschlerfield.com/stadium/stadium-info
-9384721.766,3559997.771,69,95,BOBBY BOWDEN FIELD AT DOAK CAMPBELL STADIUM,403 STADIUM DRIVE,TALLAHASSEE,FL,32304,NOT AVAILABLE,(850) 645-1318,SINGLE USE,OPEN,79560,LEON,48289,USA,30.43817,-84.30439,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://seminoles.com/sports/football/facilities/bobby-bowden-field-at-doak-s-campbell-stadium/
-9167005.023,3458627.949,70,97,BEN HILL GRIFFIN STADIUM,157 GALE LEMERAND DRIVE,GAINESVILLE,FL,32611,2002,(352) 375-4683,SINGLE USE,OPEN,88548,ALACHUA,12001,USA,29.64991,-82.34860722,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://floridagators.com/facilities/?id=1
-8947624.397,2968454.965,71,98,RICCARDO SILVA STADIUM,11200 SW 8TH STREET,MIAMI,FL,33199,NOT AVAILABLE,(305) 348-4263,SINGLE USE,OPEN,20000,MIAMI-DADE,12086,USA,25.75246606,-80.37787752,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.fiusports.com/sports/2014/6/18/GEN_0618143537.aspx
-9394569.089,3998295.088,72,99,BOBBY DODD STADIUM,155 NORTH AVENUE NW,ATLANTA,GA,30332,NOT AVAILABLE,(404) 894-2000,SINGLE USE,OPEN,55000,FULTON,17057,USA,33.7725,-84.39285,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://ramblinwreck.com/sports/genrel/facilities/bobby-dodd-stadium/
-9281083.137,4022063.759,73,100,SANFORD STADIUM,SANFORD DRIVE AND FIELD STREET,ATHENS,GA,30605,NOT AVAILABLE,(706) 542-9036,SINGLE USE,OPEN,92746,CLARKE,19039,USA,33.94980281,-83.37338835,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://georgiadogs.com/sports/2017/6/16/sanford-stadium.aspx
-17580683.84,2436389.316,74,101,ALOHA STADIUM,99-500 SALT LAKE BOULEVARD,HONOLULU,HI,96818,NOT AVAILABLE,(808) 483-2500,SINGLE USE,OPEN,50000,HONOLULU,15003,USA,21.37282,-157.92997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://alohastadium.hawaii.gov/
-10191422.95,5109983.226,75,102,KINNICK STADIUM,825 STADIUM DR,IOWA CITY,IA,52240,NOT AVAILABLE,(319) 335-9320,SINGLE USE,OPEN,70585,JOHNSON,56019,USA,41.65865,-91.55111,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://hawkeyesports.com/sports/2016/6/13/facilities-iowa-kinnick-stadium-html.aspx
-10423485.12,5163075.309,76,103,JACK TRICE STADIUM,1798 SOUTH FOURTH STREET,AMES,IA,50010,NOT AVAILABLE,(515) 294-5527,SINGLE USE,OPEN,61500,STORY,19169,USA,42.01399,-93.63576,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.fpm.iastate.edu/maps/buildings/building.asp?id=65
-12934863.97,5404183.529,77,104,ALBERTSONS STADIUM,1400 BRONCO LANE,BOISE,ID,83706,NOT AVAILABLE,(208) 426-4737,SINGLE USE,OPEN,36387,ADA,16001,USA,43.60283,-116.19586,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://broncosports.com/facilities/?id=1
-13026374.74,5897510.364,78,105,KIBBIE-ASUI ACTIVITY CENTER,711 S RAYBURN ST,MOSCOW,ID,83844,NOT AVAILABLE,(208) 885-6394,SINGLE USE,OPEN,16000,LATAH,16057,USA,46.72628294,-117.0179152,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.uidaho.edu/infrastructure/administrative-operations/uss/asui-kibbie-activity-center
-9822381.683,4880389.011,79,106,MEMORIAL STADIUM (ILLINOIS),1402 S 1ST ST,CHAMPAIGN,IL,61820,NOT AVAILABLE,(217) 333-1400,SINGLE USE,OPEN,60670,CHAMPAIGN,17019,USA,40.09934272,-88.23595593,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://fightingillini.com/sports/2015/3/24/memorialstadium.aspx
