"rank","city","state_id","census_2020","census_2010","change","state_name","latitude","longitude","costofliving","localpurchasingpower","groceries","rent","restaurant","f500_average_rank","f500_total_companies","f500_total_employees","f500_total_revenue","f500_total_profit","total_venues","total_superbowls"
23,"Charlotte","NC",2660329,2243960,"0.1856","North Carolina","35.208","-80.8304","70.98","140.32","68.5","51.2","69.86","4",151,270522,142971,"20947.5",6,NULL
24,"San Antonio","TX",2558143,2142508,"0.194","Texas","29.4658","-98.5253","62.42","130.46","56.85","38.83","69.22","5",198,77327,136637,"4829.8",6,NULL
25,"Portland","OR",2512859,2226009,"0.1289","Oregon","45.5372","-122.65",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL
26,"Sacramento","CA",2397382,2149127,"0.1155","California","38.5667","-121.4683",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
27,"Pittsburgh","PA",2370930,2356285,"0.0062","Pennsylvania","40.4396","-79.9762","78.01","109.17","82.54","39.74","61.65","4",250,136483,49198,"4441.6",5,NULL
28,"Austin","TX",2283371,1716289,"0.3304","Texas","30.3004","-97.7522","65.28","139.52","64.92","57.37","70.62","2",202,115015,28118,"-434",4,NULL
29,"Las Vegas","NV",2265461,1951269,"0.161","Nevada","36.2333","-115.2654","67.65","104.4","59.47","38.19","72.69","2",273,115500,20865,"2771.4",8,NULL
30,"Cincinnati","OH",2256884,2137667,"0.0558","Ohio","39.1413","-84.5061","63.3","120.35","62.79","39.81","59.99","6",241,723922,231626,"15556.2",5,NULL
31,"Kansas City","MO",2192035,2009342,"0.0909","Missouri","39.1239","-94.5541",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
32,"Columbus","OH",2138926,1901974,"0.1246","Ohio","39.9862","-82.985","70.12","131.05","67.2","36.4","69.81","4",238,134204,74228,"2256.1",5,NULL
33,"Indianapolis","IN",2111040,1887877,"0.1182","Indiana","39.7771","-86.1458","64.86","124.88","63.32","32.05","68.34","3",213,99025,111520,"7046.3",7,"1"
34,"Cleveland","OH",2088251,2077240,"0.0053","Ohio","41.4767","-81.6804","74.67","107.95","79.09","36.53","68.02","3",322,107200,28639,"2730.5",4,NULL
35,"San Jose","CA",2000468,1836911,"0.089","California","37.3019","-121.8486","74.68","141.69","72.89","85.04","74.42","3",211,104400,69068,"19406",4,NULL
36,"Nashville","TN",1989519,1646200,"0.2086","Tennessee","36.1715","-86.7843","72.43","98.29","71.13","53.27","74.07","1",63,210500,44747,"2890",8,NULL
37,"Virginia Beach","VA",1799674,1713954,"0.05","Virginia","36.7335","-76.0435",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,"Providence","RI",1676579,1600852,"0.0473","Rhode Island","41.823","-71.4187",NULL,NULL,NULL,NULL,NULL,"3",325,63154,28021,"2132.8",2,NULL
39,"Jacksonville","FL",1605848,1345596,"0.1934","Florida","30.3322","-81.6749","69.37","124.08","74.15","36.75","70.97","3",284,136847,29864,"2932",3,"1"
40,"Milwaukee","WI",1574731,1555908,"0.0121","Wisconsin","43.0642","-87.9673","73.72","104.95","73.49","39.16","68.73","5",298,69720,67802,"3622.6",3,NULL
41,"Oklahoma City","OK",1425695,1252987,"0.1378","Oklahoma","35.4676","-97.5136","64.6","117.41","68.7","31.55","57.54","2",287,6845,20069,"-7703",3,NULL
42,"Raleigh","NC",1413982,1130490,"0.2508","North Carolina","35.8325","-78.6435",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
43,"Memphis","TN",1337779,1316100,"0.0165","Tennessee","35.1046","-89.9773","61.78","98.93","57.22","34.16","67.01","3",154,457547,82080,"3965",4,NULL
44,"Richmond","VA",1314434,1186501,"0.1078","Virginia","37.5295","-77.4756","66.23","120.24","62.7","39.4","72.96","5",212,63329,71381,"16776.7",3,NULL
45,"Louisville","KY",1285439,1202718,"0.0688","Kentucky","38.1663","-85.6485","64.17","104.08","62.92","33.8","68.24","3",284,218250,67972,"1568.8",5,NULL
46,"New Orleans","LA",1271845,1189866,"0.0689","Louisiana","30.0687","-89.9288","72.13","92.46","66.41","42.12","75.88","1",263,13513,10846,"-583.6",6,"10"
47,"Salt Lake City","UT",1257936,1087873,"0.1563","Utah","40.7777","-111.9306","63.9","149.79","60.05","39.55","65.64","1",289,15000,9657,"326",4,NULL
48,"Hartford","CT",1213531,1212381,"0.0009","Connecticut","41.7661","-72.6834",NULL,NULL,NULL,NULL,NULL,"2",98,66400,81455,"3167",2,NULL
49,"Buffalo","NY",1166902,1135509,"0.0276","New York","42.9016","-78.8487","73.38","118.84","70.73","29.31","71.1","1",455,16487,5722,"1315.1",3,NULL
50,"Birmingham","AL",1115289,1061024,"0.0511","Alabama","33.5277","-86.7987","74.43","83.41","76.01","30.25","72.17","1",436,22166,5967,"1163",4,NULL
51,"Rochester","NY",1090135,1079671,"0.0097","New York","43.168","-77.6162",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
52,"Grand Rapids","MI",1087592,993670,"0.0945","Michigan","42.962","-85.6562",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"Tucson","AZ",1043433,980263,"0.0644","Arizona","32.1545","-110.8782",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
54," Honolulu","HI",1016508,953207,"0.0664",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"Tulsa","OK",1015331,937478,"0.083","Oklahoma","36.1284","-95.9042","62.25","122.15","57.54","30.28","65.11","3",305,11188,28162,"-270.9",4,NULL
56,"Fresno","CA",1008654,930450,"0.084","California","36.7831","-119.7941",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
57,"Worcester","MA",978529,916980,"0.0671","Massachusetts","42.2705","-71.8079",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
58,"Omaha","NE",967604,865350,"0.1182","Nebraska","41.2627","-96.0522","72.72","102.23","71.12","30.41","71.33","5",202,457251,274151,"28382.6",3,NULL
59,"Bridgeport","CT",957419,916829,"0.0443","Connecticut","41.1918","-73.1953",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
60,"Greenville","SC",928195,824112,"0.1263","South Carolina","34.8353","-82.3647",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"Albuquerque","NM",916528,887077,"0.0332","New Mexico","35.1053","-106.6464",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
62,"Bakersfield","CA",909235,839631,"0.0829","California","35.3529","-119.0359",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
63,"Albany","NY",899262,870716,"0.0328","New York","42.6664","-73.7987",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
64,"Knoxville","TN",879773,814914,"0.0796","Tennessee","35.9692","-83.9496",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
65,"McAllen","TX",870781,774769,"0.1239","Texas","26.2273","-98.2471",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"Baton Rouge","LA",870569,825905,"0.0541","Louisiana","30.4418","-91.131",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
67,"El Paso","TX",868859,804123,"0.0805","Texas","31.8479","-106.4309","54.68","110.44","50.96","24.11","48.45","1",349,7134,7743,"124.9",3,NULL
68,"New Haven","CT",864835,862477,"0.0027","Connecticut","41.3112","-72.9246",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
69,"Allentown","PA",861889,821173,"0.0496","Pennsylvania","40.5961","-75.4756",NULL,NULL,NULL,NULL,NULL,"2",330,31139,17041,"2533.1",1,NULL
70,"Oxnard","CA",843843,823318,"0.0249","California","34.1963","-119.1815",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,"North Port","FL",833716,702281,"0.1872","Florida","27.0577","-82.1975",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,"Columbia","SC",829470,767598,"0.0806","South Carolina","34.0376","-80.9037",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
73,"Dayton","OH",814049,799232,"0.0185","Ohio","39.7797","-84.1998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
74,"Charleston","SC",799636,664607,"0.2032","South Carolina","32.8153","-79.9628",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
75,"Stockton","CA",779233,685306,"0.1371","California","37.9765","-121.3109",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
76,"Greensboro","NC",776566,723801,"0.0729","North Carolina","36.0956","-79.8269","69.75","86.73","71.08","38.5","70.66","1",230,69000,12207,"1074.1",3,NULL
77,"Boise City","ID",764718,616561,"0.2403",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"Cape Coral","FL",760822,618754,"0.2296","Florida","26.6446","-81.9956",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,"Colorado Springs","CO",755105,645613,"0.1696","Colorado","38.8674","-104.7606",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
80,"Little Rock","AR",748031,699757,"0.069","Arkansas","34.7256","-92.3576","59.39","119.1","56.72","26.66","65.06","2",451,42670,11805,"-214.3",2,NULL
81,"Lakeland","FL",725046,602095,"0.2042","Florida","28.0556","-81.9545",NULL,NULL,NULL,NULL,NULL,"1",85,191000,34274,"2025.7",NULL,NULL
82,"Des Moines","IA",709466,606475,"0.1698","Iowa","41.5725","-93.6105","67.85","100.77","69.56","31.11","64.61","1",227,14854,12394,"1316.5",2,NULL
83,"Akron","OH",702219,703200,"-0.0014","Ohio","41.0798","-81.5219","61.11","96.72","62.16","23.67","53.81","2",190,81707,29314,"-4913",3,NULL
84,"Springfield","MA",699162,692942,"0.009","Massachusetts","42.1155","-72.5395",NULL,NULL,NULL,NULL,NULL,"2",218,19499,45427,"2215.8",NULL,NULL
85,"Poughkeepsie","NY",697221,670301,"0.0402","New York","41.6949","-73.921",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
86,"Ogden","UT",694863,597159,"0.1636","Utah","41.2278","-111.9682",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
87,"Madison","WI",680796,605435,"0.1245","Wisconsin","43.0826","-89.3931","67.47","113.61","65.25","38.07","75.63","1",315,10471,8829,"325.6",2,NULL
88,"Winston","NC",675966,640595,"0.0552",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,"Provo","UT",671185,526810,"0.2741","Utah","40.2457","-111.6457",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
90,"Deltona","FL",668921,590289,"0.1332","Florida","28.905","-81.2137",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,"Syracuse","NY",662057,662577,"-0.0008","New York","43.0409","-76.1438",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
92,"Durham","NC",649903,564273,"0.1518","North Carolina","35.9794","-78.9031","70.15","97.23","80.42","43.73","64.95","1",390,50000,6878,"115",4,NULL
93,"Wichita","KS",647610,623061,"0.0394","Kansas","37.6896","-97.3442","58.68","113.16","53.86","23.25","57.83","1",393,14400,6793,"469.7",1,NULL
94,"Toledo","OH",646604,651429,"-0.0074","Ohio","41.6639","-83.5822","65.27","82.75","64.96","23.67","65.04","1",458,16000,5677,"393",3,NULL
95,"Augusta","GA",611000,564873,"0.0817","Georgia","33.3645","-82.0708",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
96,"Palm Bay","FL",606612,543376,"0.1164","Florida","27.955","-80.6627",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,"Jackson","MS",591978,586320,"0.0097","Mississippi","32.3163","-90.2124",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
98,"Harrisburg","PA",591712,549475,"0.0769","Pennsylvania","40.2752","-76.8843",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,"Spokane","WA",585784,514752,"0.138","Washington","47.6671","-117.433",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
100,"Scranton","PA",567559,563631,"0.007","Pennsylvania","41.4044","-75.6649",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,"Chattanooga","TN",562647,528143,"0.0653","Tennessee","35.0657","-85.2488","65.06","86.67","68.21","38.51","58.82","1",258,9400,11047,"931.4",1,NULL
102,"Lancaster","PA",552984,519445,"0.0646","Pennsylvania","40.0421","-76.3012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,"Modesto","CA",552878,514453,"0.0747","California","37.6374","-121.0028",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,"Portland","ME",551740,514098,"0.0732","Maine","43.6773","-70.2715",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,"Fayetteville","AR",546725,440121,"0.2422","Arkansas","36.0713","-94.166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
106,"Lansing","MI",541297,534684,"0.0124","Michigan","42.7142","-84.5601",NULL,NULL,NULL,NULL,NULL,"1",398,4737,6775,"706.3",NULL,NULL
107,"Youngstown","OH",541243,565773,"-0.0434","Ohio","41.0993","-80.6463",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
108,"Fayetteville","NC",520378,481061,"0.0817","North Carolina","35.0846","-78.9776",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,"Lexington","KY",516811,472099,"0.0947","Kentucky","38.0423","-84.4587",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
110,"Pensacola","FL",509905,448991,"0.1357","Florida","30.4427","-87.1886",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,"Huntsville","AL",491723,417593,"0.1775","Alabama","34.6988","-86.6412",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,"Reno","NV",490596,425417,"0.1532","Nevada","39.5497","-119.8483",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL
113,"Santa Rosa","CA",488863,483878,"0.0103","California","38.4458","-122.7067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,"Myrtle Beach","SC",487722,376722,"0.2946","South Carolina","33.7096","-78.8843",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,"Port St. Lucie","FL",487657,424107,"0.1498","Florida","27.2796","-80.3883",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,"Lafayette","LA",478384,466750,"0.0249","Louisiana","30.2084","-92.0323",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
117,"Springfield","MO",475432,436712,"0.0887","Missouri","37.1943","-93.2916",NULL,NULL,NULL,NULL,NULL,"1",323,58397,8593,"1037.7",1,NULL
118,"Killeen","TX",475367,405300,"0.1729","Texas","31.0754","-97.7296",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,"Visalia","CA",473117,442179,"0.07","California","36.3276","-119.3269",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,"Asheville","NC",469015,424858,"0.1039","North Carolina","35.5704","-82.5536",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
121,"York","PA",456438,434972,"0.0494","Pennsylvania","39.9651","-76.7315",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,"Vallejo","CA",453491,413344,"0.0971","California","38.1133","-122.2358",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,"Santa Maria","CA",448229,423895,"0.0574","California","34.9334","-120.4432",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,"Salinas","CA",439035,415057,"0.0578","California","36.6884","-121.6317",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
125,"Salem","OR",433353,390738,"0.1091","Oregon","44.9231","-123.0246",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,"Mobile","AL",430197,430573,"-0.0009","Alabama","30.6783","-88.1162",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
127,"Reading","PA",428849,411442,"0.0423","Pennsylvania","40.34","-75.9267",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,"Manchester","NH",422937,400721,"0.0554","New Hampshire","42.9848","-71.4447",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,"Corpus Christi","TX",421933,405027,"0.0417","Texas","27.726","-97.3755",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
130,"Brownsville","TX",421017,406220,"0.0364","Texas","25.998","-97.4565",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,"Fort Wayne","IN",419601,388621,"0.0797","Indiana","41.0886","-85.1437",NULL,NULL,NULL,NULL,NULL,"1",347,7695,7777,"382.1",2,NULL
132,"Salisbury","MD",418046,373802,"0.1184","Maryland","38.3756","-75.5867",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,"Gulfport","MS",416259,388488,"0.0715","Mississippi","30.4271","-89.0703",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,"Flint","MI",406211,425790,"-0.046","Michigan","43.0235","-83.6922",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,"Savannah","GA",404798,347611,"0.1645","Georgia","32.0281","-81.1784",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
136,"Peoria","IL",402391,416255,"-0.0333","Illinois","40.752","-89.6153",NULL,NULL,NULL,NULL,NULL,"1",74,95400,38537,"-67",1,NULL
137,"Canton","OH",401574,404422,"-0.007","Ohio","40.8075","-81.3677",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,"Anchorage","AK",398328,380821,"0.046","Alaska","61.1508","-149.1091",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,"Beaumont","TX",397565,388745,"0.0227","Texas","30.0849","-94.1451",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
140,"Shreveport","LA",393406,398604,"-0.013","Louisiana","32.4656","-93.7956",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,"Trenton","NJ",387340,366513,"0.0568","New Jersey","40.2236","-74.7641",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,"Montgomery","AL",386047,374536,"0.0307","Alabama","32.3473","-86.2666",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
143,"Davenport","IA",384324,379690,"0.0122","Iowa","41.5563","-90.6052",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,"Tallahassee","FL",384298,367413,"0.046","Florida","30.4551","-84.2526",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
145,"Eugene","OR",382971,351715,"0.0889","Oregon","44.0563","-123.1173",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
146,"Ocala","FL",375908,331298,"0.1347","Florida","29.178","-82.1511",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,"Naples","FL",375752,321520,"0.1687","Florida","26.1504","-81.7936",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
148,"Ann Arbor","MI",372258,344791,"0.0797","Michigan","42.2755","-83.7312",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
149,"Hickory","NC",365276,365497,"-0.0006","North Carolina","35.7425","-81.323",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,"Huntington","WV",359862,370908,"-0.0298","West Virginia","38.4109","-82.4344",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
151,"Fort Collins","CO",359066,299630,"0.1984","Colorado","40.5478","-105.0656",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
152,"Lincoln","NE",340217,302157,"0.126","Nebraska","40.809","-96.6788",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
153,"Gainesville","FL",339247,305076,"0.112","Florida","29.6804","-82.3458",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
154,"Rockford","IL",338798,349431,"-0.0304","Illinois","42.2597","-89.0641",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,"Boulder","CO",330758,294567,"0.1229","Colorado","40.0249","-105.2523",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
156,"Greeley","CO",328981,252825,"0.3012","Colorado","40.4151","-104.7706",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,"Columbus","GA",328883,307788,"0.0685","Georgia","32.51","-84.8771",NULL,NULL,NULL,NULL,NULL,"1",126,10212,22559,"2659",NULL,NULL
158,"Green Bay","WI",328268,306241,"0.0719","Wisconsin","44.515","-87.9896",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
159,"Spartanburg","SC",327997,284307,"0.1537","South Carolina","34.9437","-81.9257",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
160,"South Bend","IN",324501,319224,"0.0165","Indiana","41.6767","-86.2696",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,"Lubbock","TX",321368,290805,"0.1051","Texas","33.5659","-101.8878",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
162,"Clarksville","TN",320535,273949,"0.1701","Tennessee","36.5695","-87.342",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
